,Controller1.dump,Controller1.res_load,Battery1.soc,Controller1.flow2b,PV1.pv_gen,Wind1.wind_gen,Load1.load_dem,Grid1.flag_warning,Consumption_kW,Energy_MWh,CO2_Intensity,CO2_emissions_kg,Cumulative_CO2_kg,Cumulative_CO2_tonnes
2012-01-01 05:30:00,-32.61131653152067,33.361316531520664,10.075,-0.7499999999999929,0.0,0.574790368479331,33.9361069,0,32.61131653152067,0.008152829132880167,212.6113194693616,1.7333837593499035,10.342739572943188,0.010342739572943188
2012-01-01 05:45:00,-0.0,-270.1668917,10.054,270.1668917,0.0,300.0,29.8331083,0,0.0,0.0,214.02662859790306,0.0,10.342739572943188,0.010342739572943188
2012-01-01 06:00:00,-0.0,-275.7779686,12.304,275.7779686,0.0,300.0,24.2220314,0,0.0,0.0,216.75283990592197,0.0,10.342739572943188,0.010342739572943188
2012-01-01 06:15:00,-0.0,-281.2721588,14.554,281.2721588,0.0,300.0,18.7278412,0,0.0,0.0,218.1817752524186,0.0,10.342739572943188,0.010342739572943188
2012-01-01 06:30:00,-0.0,-291.4154036,16.804,291.4154036,0.0,300.0,8.584596399999999,0,0.0,0.0,218.91060868565165,0.0,10.342739572943188,0.010342739572943188
2012-01-01 06:45:00,-0.0,12.526951172948587,19.054,-12.526951172948587,0.0,0.6187237270514134,13.1456749,0,0.0,0.0,219.75738823556,0.0,10.342739572943188,0.010342739572943188
2012-01-01 07:00:00,-0.0,6.991314117759504,18.706,-6.991314117759504,0.0,0.5921050822404959,7.5834192,0,0.0,0.0,222.03762691346265,0.0,10.342739572943188,0.010342739572943188
2012-01-01 07:15:00,-0.0,6.833207093501521,18.512,-6.833207093501521,0.0,0.5343472064984783,7.367554299999999,0,0.0,0.0,224.44880756770175,0.0,10.342739572943188,0.010342739572943188
2012-01-01 07:30:00,-0.0,15.118157011292878,18.322,-15.118157011292878,0.0,0.5102248887071212,15.6283819,0,0.0,0.0,225.4200422108866,0.0,10.342739572943188,0.010342739572943188
2012-01-01 07:45:00,-0.0,15.860502069152382,17.902,-15.860502069152382,0.0,0.4881197308476178,16.3486218,0,0.0,0.0,225.96699045126402,0.0,10.342739572943188,0.010342739572943188
